run	time	firm	entrant	price	output	mcosts	profits	rule	N	K	firms	theta	global	rule_pram
1	10	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	10	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	14	1	0.599	0.076	0.523	0.006	0.00	20	10	20	0.85	0.208	0.600
1	10	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	10	18	1	0.599	0.058	0.541	0.003	0.00	20	10	20	0.85	0.208	0.600
1	10	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	10	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	11	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	11	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	5	0	0.000	0.000	0.661	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	7	1	0.588	0.123	0.465	0.015	0.00	20	10	20	0.85	0.208	0.600
1	11	8	1	0.588	0.123	0.465	0.015	1.00	20	10	20	0.85	0.208	0.600
1	11	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	11	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	14	1	0.588	0.065	0.523	0.004	0.00	20	10	20	0.85	0.208	0.600
1	11	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	11	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	11	18	1	0.588	0.102	0.486	0.010	0.00	20	10	20	0.85	0.208	0.600
1	11	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	11	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	12	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	12	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	5	0	0.000	0.000	0.661	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	7	1	0.581	0.116	0.465	0.013	0.00	20	10	20	0.85	0.208	0.600
1	12	8	1	0.581	0.116	0.465	0.013	1.00	20	10	20	0.85	0.208	0.600
1	12	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	12	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	14	1	0.581	0.058	0.523	0.003	0.00	20	10	20	0.85	0.208	0.600
1	12	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	12	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	12	18	1	0.581	0.130	0.451	0.017	0.00	20	10	20	0.85	0.208	0.600
1	12	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	12	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	13	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	13	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	5	0	0.000	0.000	0.661	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	7	1	0.610	0.145	0.465	0.021	0.00	20	10	20	0.85	0.208	0.600
1	13	8	0	0.000	0.000	0.684	0.000	1.00	20	10	20	0.85	0.208	0.600
1	13	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	13	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	14	1	0.610	0.087	0.523	0.008	0.00	20	10	20	0.85	0.208	0.600
1	13	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	13	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	13	18	1	0.610	0.159	0.451	0.025	0.00	20	10	20	0.85	0.208	0.600
1	13	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	13	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	14	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	14	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	5	0	0.000	0.000	0.661	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	7	1	0.610	0.145	0.465	0.021	0.00	20	10	20	0.85	0.208	0.600
1	14	8	0	0.000	0.000	0.684	0.000	1.00	20	10	20	0.85	0.208	0.600
1	14	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	14	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	14	1	0.610	0.087	0.523	0.008	0.00	20	10	20	0.85	0.208	0.600
1	14	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	14	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	14	18	1	0.610	0.159	0.451	0.025	0.00	20	10	20	0.85	0.208	0.600
1	14	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	14	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	15	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	15	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	5	0	0.000	0.000	0.661	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	7	1	0.610	0.145	0.465	0.021	0.00	20	10	20	0.85	0.208	0.600
1	15	8	0	0.000	0.000	0.684	0.000	1.00	20	10	20	0.85	0.208	0.600
1	15	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	15	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	14	1	0.610	0.087	0.523	0.008	0.00	20	10	20	0.85	0.208	0.600
1	15	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	15	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	15	18	1	0.610	0.159	0.451	0.025	0.00	20	10	20	0.85	0.208	0.600
1	15	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
